Time,Location,SerialNumber,Level,Temperature,Conductivity,Compensated Level,LS Barometer
"Mar 2, 2026, 9:00:18 AM",,1094252,12.0466,8.93167,7207.04004,1.5236187781582562,103.195
"Mar 2, 2026, 8:00:47 AM",Blackwater,1094201,12.2569,7.275,3756.19995,1.6829328717585195,103.695
"Mar 2, 2026, 8:00:18 AM",,1094252,12.0467,8.93114,7212.72998,1.522291172779063,103.209
"Mar 2, 2026, 7:00:58 AM",Blackwater,1094251,12.3828,8.399,10106.09961,1.8074052663793256,103.709
"Mar 2, 2026, 7:00:58 AM",,1094251,12.3828,8.399,10106.09961,1.8074052663793256,103.709
"Mar 2, 2026, 7:00:47 AM",Blackwater,1094201,12.2541,7.267,3750.1001,1.680642730822517,103.69
"Mar 2, 2026, 7:00:18 AM",,1094252,12.0441,8.92772,7214.10986,1.5214246935966549,103.192
"Mar 2, 2026, 6:00:58 AM",Blackwater,1094251,12.3826,8.397,10111.2002,1.807307238192125,103.708
"Mar 2, 2026, 6:00:58 AM",,1094251,12.3826,8.397,10111.2002,1.807307238192125,103.708
"Mar 2, 2026, 6:00:47 AM",Blackwater,1094201,12.2494,7.264,3754.1001,1.6776762516401071,103.673
"Mar 2, 2026, 6:00:18 AM",,1094252,12.0359,8.92503,7215.45996,1.5211784949950125,103.114
"Mar 2, 2026, 5:00:58 AM",Blackwater,1094251,12.3832,8.397,10106.5,1.8078052663793278,103.709
"Mar 2, 2026, 5:00:58 AM",,1094251,12.3832,8.397,10106.5,1.8078052663793278,103.709
"Mar 2, 2026, 5:00:47 AM",Blackwater,1094201,12.242400000000002,7.264,3750.69995,1.6780182221616717,103.601
"Mar 2, 2026, 5:00:18 AM",,1094252,12.0267,8.92669,7194.49023,1.5222776480877596,103.013
"Mar 2, 2026, 4:00:58 AM",,1094251,12.3747,8.39,10104.5,1.8075649832160845,103.628
"Mar 2, 2026, 4:00:58 AM",Blackwater,1094251,12.3747,8.39,10104.5,1.8075649832160845,103.628
"Mar 2, 2026, 4:00:47 AM",Blackwater,1094201,12.232999999999999,7.266,3748.6001,1.6844238531455873,103.446
"Mar 2, 2026, 4:00:18 AM",,1094252,12.021900000000002,8.92432,7208.68994,1.5233920132301315,102.955
"Mar 2, 2026, 3:00:58 AM",,1094251,12.3599,8.385,10104.7002,1.807754839697607,103.481
"Mar 2, 2026, 3:00:58 AM",Blackwater,1094251,12.3599,8.385,10104.7002,1.807754839697607,103.481
"Mar 2, 2026, 3:00:47 AM",Blackwater,1094201,12.2298,7.266,3753.80005,1.6822435712735815,103.436
"Mar 2, 2026, 3:00:18 AM",,1094252,12.0166,8.92184,7206.47998,1.5221708857421088,102.915
"Mar 2, 2026, 2:00:58 AM",Blackwater,1094251,12.3585,8.38,10096.5,1.8080883605151967,103.464
"Mar 2, 2026, 2:00:58 AM",,1094251,12.3585,8.38,10096.5,1.8080883605151967,103.464
"Mar 2, 2026, 2:00:47 AM",Blackwater,1094201,12.225800000000001,7.265,3756.1001,1.679671176652777,103.422
"Mar 2, 2026, 2:00:18 AM",,1094252,12.0089,8.92079,7203.16992,1.5227306025788672,102.834
"Mar 2, 2026, 1:00:58 AM",,1094251,12.3567,8.377,10096.90039,1.8082258249583891,103.445
"Mar 2, 2026, 1:00:58 AM",Blackwater,1094251,12.3567,8.377,10096.90039,1.8082258249583891,103.445
"Mar 2, 2026, 1:00:47 AM",Blackwater,1094201,12.219600000000002,7.266,3750.3999,1.6798954008591438,103.359
"Mar 2, 2026, 1:00:18 AM",,1094252,11.9975,8.91864,7222.14014,1.522343558,102.726
"Mar 2, 2026, 12:00:58 AM",Blackwater,1094251,12.3511,8.373,10103.09961,1.8088461055391558,103.384
"Mar 2, 2026, 12:00:58 AM",,1094251,12.3511,8.373,10103.09961,1.8088461055391558,103.384
"Mar 2, 2026, 12:00:47 AM",Blackwater,1094201,12.2106,7.265,3750.1001,1.6870069472814595,103.201
"Mar 2, 2026, 12:00:18 AM",,1094252,11.9837,8.91562,7201.16992,1.523227499404334,102.582
"Mar 1, 2026, 11:00:58 PM",,1094251,12.3349,8.369,10098.7002,1.8090635673998705,103.223
"Mar 1, 2026, 11:00:58 PM",Blackwater,1094251,12.3349,8.369,10098.7002,1.8090635673998705,103.223
"Mar 1, 2026, 11:00:47 PM",Blackwater,1094201,12.208399999999997,7.262,3753.19995,1.6830734264638667,103.218
"Mar 1, 2026, 11:00:18 PM",,1094252,11.962900000000001,8.91412,7192.85986,1.5173153840730562,102.436
"Mar 1, 2026, 10:00:58 PM",Blackwater,1094251,12.336499999999997,8.364,10087.40039,1.809643849271874,103.233
"Mar 1, 2026, 10:00:58 PM",,1094251,12.336499999999997,8.364,10087.40039,1.809643849271874,103.233
"Mar 1, 2026, 10:00:47 PM",Blackwater,1094201,12.203500000000002,7.258,3751.8999,1.680416806345458,103.196
"Mar 1, 2026, 10:00:18 PM",,1094252,11.9541,8.91396,7205.02002,1.5190184807914042,102.333
"Mar 1, 2026, 9:00:58 PM",Blackwater,1094251,12.3352,8.358,10088.09961,1.809873426463869,103.218
"Mar 1, 2026, 9:00:58 PM",,1094251,12.3352,8.358,10088.09961,1.809873426463869,103.218
"Mar 1, 2026, 9:00:47 PM",Blackwater,1094201,12.1964,7.253,3750.80005,1.6794351151134268,103.136
"Mar 1, 2026, 9:00:18 PM",,1094252,11.9479,8.91248,7196.22998,1.5208742540025617,102.254
"Mar 1, 2026, 8:00:58 PM",,1094251,12.3272,8.34799,10091,1.8098272278622274,103.14
"Mar 1, 2026, 8:00:58 PM",Blackwater,1094251,12.3272,8.34799,10091,1.8098272278622274,103.14
"Mar 1, 2026, 8:00:47 PM",Blackwater,1094201,12.187599999999998,7.251,3750.5,1.6817500427085665,103.027
"Mar 1, 2026, 8:00:18 PM",,1094252,11.942799999999998,8.91145,7208.24023,1.5216886191449301,102.196
"Mar 1, 2026, 7:00:58 PM",Blackwater,1094251,12.3169,8.346,10095.2002,1.8095204655165753,103.042
"Mar 1, 2026, 7:00:58 PM",,1094251,12.3169,8.346,10095.2002,1.8095204655165753,103.042
"Mar 1, 2026, 7:00:47 PM",Blackwater,1094201,12.180700000000002,7.245,3747.80005,1.6803565205997408,102.973
"Mar 1, 2026, 7:00:18 PM",,1094252,11.9383,8.90887,7198.3501,1.5235108715384975,102.134
"Mar 1, 2026, 6:00:58 PM",,1094251,12.3115,8.336,10082.7998,1.8100348306589453,102.984
